Serial_Number,Sex,Age,Ethnic_Origin,Place_Of_Birth,District_Child,School_Type_Child,Education_Type_Child,Child_Has_First_Degree,Child_Has_Second_Degree,Child_Has_Third_Degree,Work_Type_Child,Education_Type_Dad,First_Degree_Dad,Second_Degree_Dad,Third_Degree_Dad,Work_Type_Dad,Closeness_To_Dad,First_Degree_Mom,Second_Degree_Mom,Third_Degree_Mom,Closeness_To_Mom,Child_Ed_Business,Child_Ed_Reali,Child_Ed_Humani,Child_Ed_Design,Child_Ed_Tipuli,Child_Ed_Refua,Dad_Ed_Business,Dad_Ed_Reali,Dad_Ed_Humani,Dad_Ed_Design,Dad_Ed_Tipuli,Dad_Ed_Refua,Mom_Ed_Business,Mom_Ed_Reali,Mom_Ed_Humani,Mom_Ed_Design,Mom_Ed_Tipuli,Mom_Ed_Refua
21,Female,33,Ashkenazi,Israel,Jerusalem,State-Religious,Other,1,0,0,Engineering and Programming,Business Mangement,1,1,0,Sales and Marketing,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Female,27,Mizrachi,Israel,Tel Aviv,State,Other,1,0,0,Design,None,0,0,0,Traditional Work,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Female,23,Ashkenazi ,Israel,Center,State-Religious,Design,1,0,0,Design,Business Mangement,1,0,0,General Business,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Female,26,Mizrachi ,Israel ,Jerusalem,State-Religious,Other,1,0,0,Engineering and Programming,None,0,0,0,General Business,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Female,26,Ashkenazi,Israel,Jerusalem,State-Religious,Other,1,0,0,Therapeutic,None,0,0,0,Mangement,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Female,33,Mizrachi,Israel,North,Other,Other,1,0,0,Education,Business Mangement,0,0,0,Mangement,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Female,33,Other,Israel ,North,State,Other,0,0,0,Therapeutic,STEM,1,1,1,Academy,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Female,27,Mixed,Israel,Center,State,STEM,1,0,0,Engineering and Programming,Business Mangement and Liberal Arts,1,1,0,National Defense Services,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Female,54,Ashkenazi,Israel,Unknown,State,Medicine,1,1,1,Medicine,Medicine,1,1,1,Medicine,5,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Female,28,Ashkenazi,Israel,West Bank,State-Religious,Other,1,0,0,Finance,Law,1,1,0,Law,4,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Male,29,Ashkenazi,Israel,Tel Aviv,State,Design,1,0,0,Art/Music,Liberal Arts,1,0,0,Art/Music,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Female,27,Ashkenazi ,United States ,Abroad,State-Religious,Other,1,0,0,Sales and Marketing,Unknown,1,1,0,Religion,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Male,28,Mixed,Israel,Jerusalem,State-Religious,Other,1,0,0,Engineering and Programming,Business Mangement,1,0,0,Finance,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Female,27,Mixed,Israel,Center,State,Liberal Arts,1,0,0,Therapeutic,Business Mangement and STEM,1,1,0,National Defense Services,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Male,23,Mizrachi,Israel,Jerusalem,State-Religious,Other,1,1,0,Engineering and Programming,Liberal Arts,1,0,0,Communication/Language,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Female,24,Ashkenazi,Israel,Center,State,Design,1,0,0,Design,Therapeutic,1,0,0,Human Resources,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Female,27,Ashkenazi,Israel,Jerusalem,State-Religious,Other,1,0,0,Engineering and Programming,STEM,1,0,0,Consulting,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Female,26,Mixed,Israel,North,State,Other,0,0,0,Design,None,0,0,0,Physical Work,4,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Female,27,Ashkenazi,Israel,Center,State,Liberal Arts,1,0,0,Mangement,Liberal Arts,1,1,0,Transportation,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Female,36,Ashkenazi,Israel,Unknown,State-Religious,Liberal Arts,1,1,0,Art/Music,Liberal Arts,1,1,1,National Defense Services,4,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Male,27,Mixed,Israel,South,State,Other,0,0,0,Consulting,None,0,0,0,Traditional Work,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Female,22,Ashkenazi,Israel,Center,State-Religious,Other,1,0,0,Engineering and Programming,Business Mangement,1,0,0,Finance,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Female,27,Ashkenazi,Israel,Jerusalem,Other,Liberal Arts,1,0,0,Law,Law,1,1,0,Law,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Female,22,Ashkenazi,Israel,Jerusalem,State-Religious,Other,1,0,0,Education,Law,1,0,0,Religion,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Female,24,Ashkenazi,United States,Jerusalem,Private,Design,1,0,0,Design,Law,1,0,0,National Defense Services,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Female,28,Ashkenazi,Israel,Center,State,STEM,1,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,5,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Female,23,Ashkenazi,Israel,Unknown,State-Religious,Other,0,0,0,Therapeutic,Therapeutic,1,1,0,Human Resources,5,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Female,29,Ashkenazi ,United States,Abroad,State-Religious,Other,1,0,0,Engineering and Programming,Business Mangement,1,1,0,Finance,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Female,47,Ashkenazi,Israel,North,State,Other,1,0,0,Finance,None,0,0,0,Traditional Work,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Female,30,Ashkenazi,Israel ,Jerusalem,State-Religious,Therapeutic,1,0,0,Therapeutic,Unknown,0,0,0,Other,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Male,29,Ashkenazi,Israel,Jerusalem,State-Religious,Business Mangement,1,0,0,Finance,STEM,1,0,0,Engineering and Programming,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Female,27,Mixed,United States,Abroad,State-Religious,Other,1,1,0,Consulting,Unknown,1,1,1,Communication/Language,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Female,24,Mixed,Israel ,Tel Aviv,State,Other,1,0,0,Design,Liberal Arts,1,0,0,Communication/Language,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Female,27,Ashkenazi,United States,Center,State-Religious,Other,1,0,0,Consulting,Medicine,1,1,1,Medicine,4,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Female,27,Ethiopian,Israel,Haifa,State-Religious,Other,1,0,0,Design,None,0,0,0,Traditional Work,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Female,57,Ashkenazi ,United States,Abroad,State-Religious,Other,0,0,0,Other,None,0,0,0,Traditional Work,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Male,28,Mixed,Israel,Jerusalem,State-Religious,STEM and Liberal Arts,1,0,0,Engineering and Programming,STEM,1,1,0,Engineering and Programming,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Male,27,Ashkenazi,Israel,Jerusalem,State-Religious,STEM,1,1,0,Engineering and Programming,Business Mangement,1,0,0,Finance,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Female,30,Ashkenazi,Brazil,North,State,STEM and Design,1,0,0,Design,STEM,1,1,0,Academy,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Female,66,Ashkenazi,Israel,Center,State,Other,1,1,0,Education,STEM,1,0,0,Engineering and Programming,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Female,27,Mixed,Israel,Jerusalem,Other,STEM and Design,1,0,0,Engineering and Programming,Medicine,1,1,1,Medicine,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Female,27,Mixed,Israel,Jerusalem,State-Religious,STEM,1,1,0,Therapeutic,Unknown,1,1,1,National Defense Services,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Female,26,Soviet Union,Israel,North,Orthodox,Liberal Arts,1,0,0,Therapeutic,STEM,0,1,0,Engineering and Programming,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Female,28,Ashkenazi,Israel,Haifa,State-Religious,Design,1,0,0,Design,Business Mangement,1,0,0,Finance,5,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Female,27,Ashkenazi,Israel,Jerusalem,State-Religious,Other,1,0,0,Finance,Medicine,1,1,1,Medicine,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Male,26,Mixed,Israel,Jerusalem,State,Other,1,0,0,Engineering and Programming,None,0,0,0,Communication/Language,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Male,49,Ashkenazi,Israel,Jerusalem,State-Religious,Other,1,1,1,Mangement,Business Mangement and Liberal Arts,1,0,0,General Business,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Male,31,Ashkenazi,Israel,Jerusalem,State-Religious,STEM,1,0,0,Engineering and Programming,None,0,0,0,General Business,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Female,27,Ashkenazi,Israel,Center,State-Religious,Liberal Arts,1,0,0,Human Resources,Business Mangement and STEM,1,0,0,Engineering and Programming,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Female,26,Mixed,United States,Jerusalem,State-Religious,STEM and Design,1,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Female,27,Mixed,Israel,Center,Other,Other,0,0,0,Art/Music,Law,1,0,0,Sales and Marketing,4,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Male,28,Ashkenazi,Israel ,Center,State,Other,1,0,0,Finance,STEM,1,0,0,Academy,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Male,24,Ashkenazi,Israel,Jerusalem,State,Other,1,0,0,Engineering and Programming,STEM,1,1,0,Consulting,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Female,27,Ashkenazi,Israel,Center,State,STEM and Design,1,0,0,Engineering and Programming,STEM,1,1,0,Engineering and Programming,5,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Female,23,Mixed,Israel,West Bank,State-Religious,Other,1,0,0,Therapeutic,Business Mangement and STEM,1,1,0,Engineering and Programming,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Female,27,Mixed,Israel,West Bank,State,Business Mangement,1,0,0,Consulting,None,0,0,0,Physical Work,4,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Female,27,Mizrachi,Israel,Center,State,Other,1,0,0,Mangement,Design,1,0,0,Design,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Female,27,Ashkenazi ,Israel ,Center,State,Liberal Arts,1,0,0,Education,Liberal Arts,1,1,0,Education,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Female,27,Ashkenazi,United States,Center,State-Religious,STEM,1,1,0,Academy,Unknown,1,0,0,General Business,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Female,24,Ashkenazi,Israel,Center,State,STEM,1,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Male,26,Soviet Union,Israel,Haifa,State,STEM,1,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Female,33,Mixed,Israel ,Unknown,State,STEM,1,0,0,Education,Medicine,1,1,1,Medicine,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Female,33,Ashkenazi ,Israel ,Unknown,State,Medicine,1,1,1,Medicine,STEM,0,1,1,Engineering and Programming,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Male,26,Mizrachi,Israel,Center,State,STEM,1,0,0,Engineering and Programming,Design,1,0,0,Design,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Female,28,Mizrachi,Israel,South,State,Other,1,0,0,Engineering and Programming,Liberal Arts,1,1,0,Human Resources,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Male,28,Mixed,Israel,Jerusalem,State-Religious,STEM,1,0,0,Engineering and Programming,None,0,0,0,,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Female,27,Ashkenazi,Israel,Center,State,STEM,1,0,0,Engineering and Programming,Business Mangement,1,1,0,Sales and Marketing,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Female,26,Other,Israel,Haifa,State,Other,1,0,0,Art/Music,Liberal Arts,1,1,1,Education,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Male,28,Ashkenazi,Israel,Center,State,STEM,1,0,0,Engineering and Programming,Liberal Arts,1,0,0,Sales and Marketing,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Female,29,Ashkenazi,Canada,West Bank,State-Religious,Other,1,0,0,Information Systems,Liberal Arts,1,0,0,Religion,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Female,29,Mixed,Israel,Jerusalem,State-Religious,STEM,1,0,0,Engineering and Programming,None,0,0,0,Information Systems,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Female,27,Mixed,Israel,Jerusalem,State-Religious,Other,1,0,0,Engineering and Programming,STEM,1,1,0,Engineering and Programming,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Female,28,Ashkenazi,Israel,Center,State,STEM and Liberal Arts,1,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Female,28,Ashkenazi,Israel,Center,State,STEM,1,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Female,29,Ashkenazi,Israel,North,State,STEM and Liberal Arts,1,0,0,Education,STEM,1,0,0,Engineering and Programming,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Female,27,Ashkenazi,Israel,Center,State,Other,1,1,0,Academy,Business Mangement,1,1,0,Consulting,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Male,59,Ashkenazi,United States,Abroad,Private,Business Mangement,1,1,0,Finance,Business Mangement,1,0,0,General Business,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Female,26,Ashkenazi,Israel,West Bank,State-Religious,Other,1,0,0,Therapeutic,STEM,1,0,0,Education,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Male,26,Mixed,Israel,,State,STEM,1,0,0,Engineering and Programming,Other,0,0,0,Art/Music,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Female,47,Ashkenazi,Israel,Jerusalem,State,Other,1,0,0,Therapeutic,None,0,0,0,Other,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Male,24,Mizrachi,Israel,Center,State-Religious,STEM,1,0,0,Administration,STEM and Liberal Arts,1,0,0,Engineering and Programming,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Female,48,Ashkenazi,Israel,Unknown,State,Other,1,1,0,National Defense Services,Medicine,1,1,1,Medicine,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Male,34,Ashkenazi,United States,Jerusalem,State-Religious,Liberal Arts,1,0,0,Law,STEM,1,0,0,Engineering and Programming,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Male,51,Mizrachi,Israel,Jerusalem,State,Other,1,0,0,Engineering and Programming,None,0,0,0,Catering,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Female,24,Ashkenazi ,Israel,Center,State,STEM and Design,1,0,0,Other,Business Mangement,1,0,0,Mangement,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Male,26,Ashkenazi,Israel,Jerusalem,State,STEM,1,0,0,Engineering and Programming,Medicine,1,1,1,Medicine,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Female,26,Mixed,Israel,Jerusalem,State-Religious,STEM,1,1,0,Other,Business Mangement,1,0,0,Finance,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Female,27,Ashkenazi,Israel,Center,State,Other,1,0,0,Sales and Marketing,Business Mangement,1,0,0,Education,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Male,28,Ashkenazi,France,Unknown,Private,STEM,1,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Male,29,Mixed,Israel,Center,State,STEM and Design,1,0,0,Engineering and Programming,None,0,0,0,Mangement,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Female,33,Ashkenazi,United States,Abroad,State-Religious,Other,1,1,0,Consulting,Medicine,1,1,1,Medicine,4,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Female,28,Ashkenazi,Israel,Center,State-Religious,Liberal Arts,1,1,0,Law,Business Mangement and STEM,1,1,0,Engineering and Programming,4,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Female,23,Ashkenazi,Israel,West Bank,State-Religious,Other,1,0,0,Law,Law,1,1,0,Law,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Female,26,Mixed,Israel,Center,State-Religious,Other,1,1,0,Engineering and Programming,STEM,1,1,0,Engineering and Programming,4,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Female,28,Ashkenazi,Israel,Unknown,State,Other,1,0,0,Engineering and Programming,STEM,1,0,0,Engineering and Programming,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Female,23,Ashkenazi,Israel,Center,State,Other,1,0,0,Other,STEM,1,0,0,Mangement,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Female,26,Ashkenazi,Israel ,Jerusalem,State-Religious,Other,1,0,0,Education,Law,1,0,0,Law,5,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Male,27,Soviet Union,Israel,Jerusalem,State,STEM,1,0,0,Engineering and Programming,STEM,1,0,0,Traditional Work,3,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Male,30,Ashkenazi,Uruguay,Center,State,STEM,1,0,0,Engineering and Programming,Medicine,1,1,1,Medicine,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Female,26,Mixed,Israel,Haifa,State,Design,1,0,0,Design,Medicine,1,1,1,Medicine,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Female,28,Ashkenazi ,Israel,Center,State,STEM,1,0,0,Engineering and Programming,Business Mangement,0,0,0,Mangement,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Female,31,Mixed,Israel,Jerusalem,State,Liberal Arts,1,1,0,Consulting,Business Mangement,0,0,0,Traditional Work,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Female,25,Ashkenazi,Israel,Center,State-Religious,STEM,1,0,0,Engineering and Programming,Business Mangement and Law,1,0,0,Finance,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
