Timestamp,Sex,Age,Work_Type_Child,Work_Category_Child,Work_Type_Dad,Work_Category_Dad,Work_Type_Mom,Work_Category_Mom,Closeness_To_Dad,Closeness_To_Mom,Serial_Number,Social_Work_Place_Child,Work_Life_Balance_Child,Social_Influence_Child,Diversed_Job_Child,Office_Nature_Child,Job_Security_Child,Specific_Training_Child,Social_Benefits_Child,Working_Hours_Child,Social_Work_Place_Dad,Work_Life_Balance_Dad,Social_Influence_Dad,Diversed_Job_Dad,Office_Nature_Dad,Job_Security_Dad,Specific_Training_Dad,Social_Benefits_Dad,Working_Hours_Dad,Social_Work_Place_Mom,Work_Life_Balance_Mom,Social_Influence_Mom,Diversed_Job_Mom,Office_Nature_Mom,Job_Security_Mom,Specific_Training_Mom,Social_Benefits_Mom,Working_Hours_Mom
2024-01-14 13:46:29,Female,27,Law,Business,Law,Business,Law,Business,5,5,43,1,1,1,1,2,1,1,3,3,1,1,1,1,2,1,1,3,3,1,1,1,1,2,1,1,3,3
2024-01-14 13:46:32,Female,22,Education,Education,Religion,Religion,Education,Education,5,5,44,2,1,2,1,2,2,3,2,2,2,1,1,2,2,1,1,1,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:46:37,Female,24,Design,Creative,National Defense Services,Defence,Art/Music,Creative,4,5,45,1,1,2,2,1,2,2,2,3,2,1,2,3,2,3,2,2,2,1,1,2,1,1,1,1,2,3
2024-01-14 13:46:50,Female,28,Engineering and Programming,Technology,Engineering and Programming,Technology,Academy,Education,5,2,46,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,2,2,1,1,3,2,2,2
2024-01-14 13:47:04,Female,23,Therapeutic,Care giving,Human Resources,Business,Human Resources,Business,5,3,47,3,2,2,3,3,2,2,2,2,1,2,1,2,2,2,2,3,3,1,2,1,2,2,2,2,3,3
2024-01-14 13:47:27,Female,29,Engineering and Programming,Technology,Finance,Business,Education,Education,2,2,48,3,1,1,2,1,1,1,1,3,3,1,2,2,1,1,1,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:47:33,Female,47,Finance,Business,Traditional,Manual labor,Administration,Business,4,5,49,3,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,3,1,1,2,3,2,2,1
2024-01-14 13:47:41,Male,29,Finance,Business,Engineering and Programming,Technology,Sales and Marketing,Business,4,3,51,3,1,2,2,1,1,1,2,2,3,1,1,2,1,1,1,1,3,1,1,2,1,2,3,2,2,2
2024-01-14 13:47:59,Female,27,Consulting,Customer service,Communication/Language,Creative,Education,Education,4,4,52,3,1,3,3,1,1,1,2,2,1,2,2,2,1,2,2,2,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:48:25,Female,24,Design,Creative,Communication/Language,Creative,Therapeutic,Care giving,4,5,53,1,1,2,2,1,2,2,2,3,1,2,2,2,1,2,2,2,3,3,2,2,3,3,2,2,2,2
2024-01-14 13:48:43,Female,27,Consulting,Customer service,Medicine,Care giving,Therapeutic,Care giving,4,5,54,3,1,3,3,1,1,1,2,2,2,2,1,3,3,3,2,1,2,3,2,2,3,3,2,2,2,2
2024-01-14 13:49:25,Female,27,Design,Creative,Traditional,Manual labor,Education,Education,1,4,55,1,1,2,2,1,2,2,2,3,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:49:34,Male,28,Engineering and Programming,Technology,Engineering and Programming,Technology,Therapeutic,Care giving,5,5,57,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 13:50:04,Male,27,Engineering and Programming,Technology,Finance,Business,Academy,Education,5,5,58,3,1,1,2,1,1,1,1,3,3,1,2,2,1,1,1,2,2,3,2,2,1,1,3,2,2,2
2024-01-14 13:50:15,Female,30,Design,Creative,Academy,Education,Management,Business,1,5,59,1,1,2,2,1,2,2,2,3,3,2,2,1,1,3,2,2,2,1,2,1,1,2,2,2,1,2
2024-01-14 13:51:04,Female,66,Education,Education,Engineering and Programming,Technology,Therapeutic,Care giving,3,3,60,2,1,2,1,2,2,3,2,2,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 13:51:05,Female,27,Engineering and Programming,Technology,Medicine,Care giving,Education,Education,1,4,61,3,1,1,2,1,1,1,1,3,2,2,1,3,3,3,2,1,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:51:17,Female,27,Therapeutic,Care giving,National Defense Services,Defence,Design,Creative,5,5,62,3,2,2,3,3,2,2,2,2,2,1,2,3,2,3,2,2,2,1,1,2,2,1,2,2,2,3
2024-01-14 13:51:32,Female,26,Therapeutic,Care giving,Engineering and Programming,Technology,Finance,Business,3,3,63,3,2,2,3,3,2,2,2,2,3,1,1,2,1,1,1,1,3,3,1,2,2,1,1,1,2,2
2024-01-14 13:51:38,Female,28,Design,Creative,Finance,Business,Finance,Business,5,4,64,1,1,2,2,1,2,2,2,3,3,1,2,2,1,1,1,2,2,3,1,2,2,1,1,1,2,2
2024-01-14 13:51:55,Female,27,Finance,Business,Medicine,Care giving,Finance,Business,4,4,65,3,1,2,2,1,1,1,2,2,2,2,1,3,3,3,2,1,2,3,1,2,2,1,1,1,2,2
2024-01-14 13:52:01,Male,26,Engineering and Programming,Technology,Communication/Language,Creative,Law,Business,4,4,66,3,1,1,2,1,1,1,1,3,1,2,2,2,1,2,2,2,3,1,1,1,1,2,1,1,3,3
2024-01-14 13:52:32,Male,49,Management,Business,General Business,Business,Education,Education,3,3,67,1,2,1,1,2,2,2,1,2,3,1,2,2,1,1,1,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:53:00,Male,31,Engineering and Programming,Technology,General Business,Business,Education,Education,5,3,68,3,1,1,2,1,1,1,1,3,3,1,2,2,1,1,1,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:54:28,Female,27,Human Resources,Business,Engineering and Programming,Technology,Administration,Business,5,5,69,1,2,1,2,2,2,2,3,3,3,1,1,2,1,1,1,1,3,2,3,1,1,2,3,2,2,1
2024-01-14 13:54:33,Female,27,Art/Music,Creative,Sales and Marketing,Business,Therapeutic,Care giving,4,5,71,1,1,2,1,1,1,1,2,3,1,1,2,1,2,3,2,2,2,3,2,2,3,3,2,2,2,2
2024-01-14 13:54:41,Male,28,Finance,Business,Academy,Education,Education,Education,5,4,72,3,1,2,2,1,1,1,2,2,3,2,2,1,1,3,2,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:55:29,Male,24,Engineering and Programming,Technology,Consulting,Customer service,Education,Education,5,5,73,3,1,1,2,1,1,1,1,3,3,1,3,3,1,1,1,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:57:38,Female,27,Engineering and Programming,Technology,Engineering and Programming,Technology,Academy,Education,5,4,74,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,2,2,1,1,3,2,2,2
2024-01-14 13:57:48,Female,23,Therapeutic,Care giving,Engineering and Programming,Technology,Education,Education,4,3,75,3,2,2,3,3,2,2,2,2,3,1,1,2,1,1,1,1,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:57:49,Female,27,Consulting,Customer service,Physical Work,Manual labor,Education,Education,4,5,76,3,1,3,3,1,1,1,2,2,3,3,2,3,3,3,2,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 13:59:00,Female,27,Management,Business,Design,Creative,Education,Education,5,5,77,1,2,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,3,2,1,2,1,2,2,3,2,2
2024-01-14 13:59:20,Female,27,Education,Education,Education,Education,Agriculture,Manual labor,3,4,78,2,1,2,1,2,2,3,2,2,2,1,2,1,2,2,3,2,2,1,2,2,1,2,2,2,2,3
2024-01-14 13:59:39,Female,24,Engineering and Programming,Technology,Engineering and Programming,Technology,Finance,Business,5,5,80,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,1,2,2,1,1,1,2,2
2024-01-14 14:00:08,Male,26,Engineering and Programming,Technology,Engineering and Programming,Technology,Education,Education,4,4,81,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,2,1,2,1,2,2,3,2,2
2024-01-14 14:00:26,Female,33,Education,Education,Medicine,Care giving,Medicine,Care giving,5,5,82,2,1,2,1,2,2,3,2,2,2,2,1,3,3,3,2,1,2,2,2,1,3,3,3,2,1,2
2024-01-14 14:01:26,Female,33,Medicine,Care giving,Engineering and Programming,Technology,Education,Education,5,5,83,2,2,1,3,3,3,2,1,2,3,1,1,2,1,1,1,1,3,2,1,2,1,2,2,3,2,2
2024-01-14 14:01:30,Male,26,Engineering and Programming,Technology,Design,Creative,Management,Business,3,4,84,3,1,1,2,1,1,1,1,3,1,1,2,2,1,2,2,2,3,1,2,1,1,2,2,2,1,2
2024-01-14 14:01:35,Female,28,Engineering and Programming,Technology,Human Resources,Business,Management,Business,5,5,85,3,1,1,2,1,1,1,1,3,1,2,1,2,2,2,2,3,3,1,2,1,1,2,2,2,1,2
2024-01-14 14:02:11,Female,27,Engineering and Programming,Technology,Sales and Marketing,Business,Education,Education,5,5,87,3,1,1,2,1,1,1,1,3,1,1,2,1,2,3,2,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 14:02:26,Female,26,Art/Music,Creative,Education,Education,Traditional,Manual labor,3,4,88,1,1,2,1,1,1,1,2,3,2,1,2,1,2,2,3,2,2,1,1,2,1,1,2,2,2,2
2024-01-14 14:02:28,Male,28,Engineering and Programming,Technology,Sales and Marketing,Business,General Business,Business,4,5,89,3,1,1,2,1,1,1,1,3,1,1,2,1,2,3,2,2,2,3,1,2,2,1,1,1,2,2
2024-01-14 14:03:30,Female,29,Information Systems,Technology,Religion,Religion,Design,Creative,5,5,90,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,1,1,3,1,1,2,2,1,2,2,2,3
2024-01-14 14:04:32,Female,29,Engineering and Programming,Technology,Information Systems,Technology,Therapeutic,Care giving,5,5,91,3,1,1,2,1,1,1,1,3,2,2,1,2,1,2,2,2,2,3,2,2,3,3,2,2,2,2
2024-01-14 14:08:37,Female,27,Engineering and Programming,Technology,Engineering and Programming,Technology,Law,Business,5,5,92,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,1,1,1,1,2,1,1,3,3
2024-01-14 14:10:08,Female,28,Engineering and Programming,Technology,Engineering and Programming,Technology,Therapeutic,Care giving,5,5,93,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 14:10:17,Female,28,Engineering and Programming,Technology,Engineering and Programming,Technology,Art/Music,Creative,3,4,94,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,1,1,2,1,1,1,1,2,3
2024-01-14 14:10:27,Female,29,Education,Education,Engineering and Programming,Technology,Design,Creative,4,5,95,2,1,2,1,2,2,3,2,2,3,1,1,2,1,1,1,1,3,1,1,2,2,1,2,2,2,3
2024-01-14 14:11:35,Female,27,Academy,Education,Consulting,Customer service,Education,Education,5,5,96,3,2,2,1,1,3,2,2,2,3,1,3,3,1,1,1,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 14:11:51,Male,59,Finance,Business,General Business,Business,Education,Education,5,5,97,3,1,2,2,1,1,1,2,2,3,1,2,2,1,1,1,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 14:13:39,Female,26,Therapeutic,Care giving,Education,Education,Education,Education,5,5,98,3,2,2,3,3,2,2,2,2,2,1,2,1,2,2,3,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 14:15:30,Male,26,Engineering and Programming,Technology,Art/Music,Creative,Catering,Customer service,5,5,99,3,1,1,2,1,1,1,1,3,1,1,2,1,1,1,1,2,3,1,2,2,3,1,2,3,2,2
2024-01-14 14:17:45,Male,24,Administration,Business,Engineering and Programming,Technology,Education,Education,4,4,101,2,3,1,1,2,3,2,2,1,3,1,1,2,1,1,1,1,3,2,1,2,1,2,2,3,2,2
2024-01-14 14:18:16,Female,48,National Defense Services,Defence,Medicine,Care giving,Education,Education,4,5,102,2,1,2,3,2,3,2,2,2,2,2,1,3,3,3,2,1,2,2,1,2,1,2,2,3,2,2
2024-01-14 14:21:15,Male,26,Engineering and Programming,Technology,Medicine,Care giving,Therapeutic,Care giving,4,4,106,3,1,1,2,1,1,1,1,3,2,2,1,3,3,3,2,1,2,3,2,2,3,3,2,2,2,2
2024-01-14 14:26:12,Female,27,Sales and Marketing,Business,Education,Education,Consulting,Customer service,5,5,108,1,1,2,1,2,3,2,2,2,2,1,2,1,2,2,3,2,2,3,1,3,3,1,1,1,2,2
2024-01-14 14:28:23,Male,28,Engineering and Programming,Technology,Engineering and Programming,Technology,Engineering and Programming,Technology,4,4,109,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3
2024-01-14 14:29:59,Male,29,Engineering and Programming,Technology,Management,Business,Finance,Business,3,5,110,3,1,1,2,1,1,1,1,3,1,2,1,1,2,2,2,1,2,3,1,2,2,1,1,1,2,2
2024-01-14 14:30:38,Female,33,Consulting,Customer service,Medicine,Care giving,Law,Business,4,5,111,3,1,3,3,1,1,1,2,2,2,2,1,3,3,3,2,1,2,1,1,1,1,2,1,1,3,3
2024-01-14 14:31:27,Female,28,Law,Business,Engineering and Programming,Technology,Therapeutic,Care giving,4,4,112,1,1,1,1,2,1,1,3,3,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 14:32:49,Female,23,Law,Business,Law,Business,Law,Business,5,5,113,1,1,1,1,2,1,1,3,3,1,1,1,1,2,1,1,3,3,1,1,1,1,2,1,1,3,3
2024-01-14 14:33:17,Female,26,Engineering and Programming,Technology,Engineering and Programming,Technology,Therapeutic,Care giving,4,5,114,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 14:33:35,Female,28,Engineering and Programming,Technology,Engineering and Programming,Technology,Engineering and Programming,Technology,3,5,115,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3
2024-01-14 14:37:37,Female,26,Education,Education,Law,Business,Academy,Education,5,5,117,2,1,2,1,2,2,3,2,2,1,1,1,1,2,1,1,3,3,3,2,2,1,1,3,2,2,2
2024-01-14 14:38:24,Male,27,Engineering and Programming,Technology,Traditional,Manual labor,Engineering and Programming,Technology,3,5,118,3,1,1,2,1,1,1,1,3,1,1,2,1,1,2,2,2,2,3,1,1,2,1,1,1,1,3
2024-01-14 14:39:53,Male,30,Engineering and Programming,Technology,Medicine,Care giving,Finance,Business,5,5,119,3,1,1,2,1,1,1,1,3,2,2,1,3,3,3,2,1,2,3,1,2,2,1,1,1,2,2
2024-01-14 14:43:54,Female,26,Design,Creative,Medicine,Care giving,Engineering and Programming,Technology,5,5,120,1,1,2,2,1,2,2,2,3,2,2,1,3,3,3,2,1,2,3,1,1,2,1,1,1,1,3
2024-01-14 14:44:17,Female,28,Engineering and Programming,Technology,Management,Business,Engineering and Programming,Technology,1,3,121,3,1,1,2,1,1,1,1,3,1,2,1,1,2,2,2,1,2,3,1,1,2,1,1,1,1,3
2024-01-14 14:45:24,Female,31,Consulting,Customer service,Traditional,Manual labor,Therapeutic,Care giving,5,5,122,3,1,3,3,1,1,1,2,2,1,1,2,1,1,2,2,2,2,3,2,2,3,3,2,2,2,2
2024-01-14 14:47:22,Female,25,Engineering and Programming,Technology,Finance,Business,Management,Business,4,3,123,3,1,1,2,1,1,1,1,3,3,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2
2024-01-14 14:50:23,Female,28,Consulting,Customer service,Catering,Customer service,Law,Business,3,3,124,3,1,3,3,1,1,1,2,2,1,2,2,3,1,2,3,2,2,1,1,1,1,2,1,1,3,3
2024-01-14 14:51:29,Female,27,Law,Business,Engineering and Programming,Technology,Therapeutic,Care giving,5,5,125,1,1,1,1,2,1,1,3,3,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 14:51:55,Female,26,Therapeutic,Care giving,Engineering and Programming,Technology,Medicine,Care giving,5,5,126,3,2,2,3,3,2,2,2,2,3,1,1,2,1,1,1,1,3,2,2,1,3,3,3,2,1,2
2024-01-14 14:52:03,Female,27,Medicine,Care giving,Engineering and Programming,Technology,Therapeutic,Care giving,5,4,127,2,2,1,3,3,3,2,1,2,3,1,1,2,1,1,1,1,3,3,2,2,3,3,2,2,2,2
2024-01-14 14:53:27,Female,25,Design,Creative,Engineering and Programming,Technology,Engineering and Programming,Technology,4,5,128,1,1,2,2,1,2,2,2,3,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3
2024-01-14 14:53:50,Male,27,Law,Business,Academy,Education,Education,Education,5,5,129,1,1,1,1,2,1,1,3,3,3,2,2,1,1,3,2,2,2,2,1,2,1,2,2,3,2,2
2024-01-14 14:54:11,Female,23,Design,Creative,General Business,Business,Administration,Business,4,5,130,1,1,2,2,1,2,2,2,3,3,1,2,2,1,1,1,2,2,2,3,1,1,2,3,2,2,1
2024-01-14 14:54:33,Male,29,Medicine,Care giving,Medicine,Care giving,Finance,Business,5,5,131,2,2,1,3,3,3,2,1,2,2,2,1,3,3,3,2,1,2,3,1,2,2,1,1,1,2,2
2024-01-14 14:55:53,Male,28,Management,Business,Engineering and Programming,Technology,Engineering and Programming,Technology,2,3,132,1,2,1,1,2,2,2,1,2,3,1,1,2,1,1,1,1,3,3,1,1,2,1,1,1,1,3
2024-01-14 15:00:35,Female,28,Sales and Marketing,Business,Agriculture,Manual labor,Education,Education,5,5,133,1,1,2,1,2,3,2,2,2,1,2,2,1,2,2,2,2,3,2,1,2,1,2,2,3,2,2
2024-01-14 15:02:40,Female,26,Catering,Customer service,Engineering and Programming,Technology,Management,Business,4,3,134,1,2,2,3,1,2,3,2,2,3,1,1,2,1,1,1,1,3,1,2,1,1,2,2,2,1,2
2024-01-14 15:03:55,Male,23,Design,Creative,Academy,Education,Communication/Language,Creative,4,5,135,1,1,2,2,1,2,2,2,3,3,2,2,1,1,3,2,2,2,1,2,2,2,1,2,2,2,3
2024-01-14 15:06:18,Female,26,Therapeutic,Care giving,Engineering and Programming,Technology,General Business,Business,5,5,137,3,2,2,3,3,2,2,2,2,3,1,1,2,1,1,1,1,3,3,1,2,2,1,1,1,2,2
2024-01-14 15:06:54,Female,27,Medicine,Care giving,National Defense Services,Defence,Design,Creative,5,5,138,2,2,1,3,3,3,2,1,2,2,1,2,3,2,3,2,2,2,1,1,2,2,1,2,2,2,3
